ticker,timestamp,open,high,low,close,volume,bu,sd,fb,fs,fn
HRC,2025-08-05 00:00,30300.0,31700.0,30300.0,31650.0,1221.0,200.0,300.0,0.0,0.0,0.0
HRC,2025-08-06 00:00,31950.0,31950.0,29650.0,31900.0,1518.0,200.0,300.0,0.0,0.0,0.0
HRC,2025-08-07 00:00,31500.0,31500.0,31500.0,31500.0,115.0,0.0,100.0,0.0,0.0,0.0
HRC,2025-08-08 00:00,31500.0,31550.0,31500.0,31550.0,1529.0,0.0,1400.0,0.0,0.0,0.0
HRC,2025-08-11 00:00,31550.0,31550.0,31550.0,31550.0,3.0,0.0,0.0,0.0,0.0,0.0
HRC,2025-08-12 00:00,32400.0,32400.0,32400.0,32400.0,220.0,0.0,0.0,0.0,0.0,0.0
HRC,2025-08-13 00:00,30250.0,32500.0,30250.0,32500.0,660.0,500.0,100.0,0.0,0.0,0.0
HRC,2025-08-14 00:00,32000.0,32000.0,32000.0,32000.0,129.0,100.0,0.0,0.0,0.0,0.0
HRC,2025-08-15 00:00,32000.0,32000.0,32000.0,32000.0,62.0,0.0,0.0,0.0,0.0,0.0
HRC,2025-08-18 00:00,31950.0,32000.0,31950.0,32000.0,305.0,300.0,0.0,0.0,0.0,0.0
HRC,2025-08-19 00:00,31000.0,32000.0,31000.0,32000.0,701.0,200.0,200.0,0.0,0.0,0.0
HRC,2025-08-20 00:00,32000.0,32000.0,32000.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0
HRC,2025-08-21 00:00,30250.0,30250.0,30250.0,30250.0,103.0,0.0,100.0,0.0,0.0,0.0
HRC,2025-08-22 00:00,30350.0,30350.0,30350.0,30350.0,121.0,0.0,100.0,0.0,0.0,0.0
HRC,2025-08-25 00:00,31700.0,31700.0,31700.0,31700.0,100.0,100.0,0.0,0.0,0.0,0.0
HRC,2025-08-26 00:00,31700.0,31700.0,31700.0,31700.0,24.0,0.0,0.0,0.0,0.0,0.0
HRC,2025-08-27 00:00,30400.0,30500.0,30350.0,30500.0,1400.0,500.0,800.0,0.0,0.0,0.0
HRC,2025-08-28 00:00,32550.0,32550.0,32000.0,32000.0,604.0,600.0,0.0,0.0,0.0,0.0
HRC,2025-08-29 00:00,32000.0,32000.0,32000.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0
HSG,2025-07-21 00:00,18150.0,18550.0,18000.0,18000.0,12220391.0,5177700.0,6511900.0,31963835000.0,4400100000.0,27563735000.0
HSG,2025-07-22 00:00,18000.0,18050.0,17850.0,18050.0,6722232.0,2301800.0,4075300.0,4608885000.0,9535160000.0,-4926275000.0
HSG,2025-07-23 00:00,18300.0,19100.0,18300.0,18900.0,27145863.0,17102900.0,9464600.0,102276015000.0,6100189700.0,96175825300.0
HSG,2025-07-24 00:00,18950.0,18950.0,18500.0,18600.0,8547181.0,3472900.0,4753700.0,20042865000.0,25202460000.0,-5159595000.0
